# time,flux_clean,flux_err
2.458462776355000213e+06,9.716276417203998372e-01,4.334427043999999896e-02
2.458462777743999846e+06,9.721923081320547055e-01,4.351971671000000319e-02
2.458462779132999945e+06,9.978158864935239292e-01,4.324733837999999997e-02
2.458462780520999804e+06,9.482732362845009977e-01,4.314354807000000264e-02
2.458462781909999903e+06,9.752710037318431668e-01,4.319295287000000233e-02
2.458462783299000002e+06,1.014746455128736402e+00,4.322600364999999722e-02
2.458462784688000102e+06,1.006630367338654297e+00,4.326295852999999941e-02
2.458462786077000201e+06,1.023112334360568587e+00,4.322706535000000322e-02
2.458462787465999834e+06,9.886317274727554061e-01,4.325861110999999759e-02
2.458462788854999933e+06,1.036304775854539395e+00,4.325327276999999665e-02
2.458462790242999792e+06,1.006545223056823257e+00,4.323210194999999728e-02
2.458462791631999891e+06,1.007187857371481421e+00,4.345408455000000086e-02
2.458462793020999990e+06,1.004583942894445192e+00,4.331759362999999807e-02
2.458462794410000090e+06,1.023976889359809128e+00,4.329586774000000055e-02
2.458462795799000189e+06,9.777034211120781970e-01,4.323428497000000176e-02
2.458462797187999822e+06,1.003646299111183859e+00,4.358529299000000329e-02
